Country Name,Country Code,Region,Income_Group
Guatemala,GTM,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Guam,GUM,Sin Asignar,Ingreso alto
Guyana,GUY,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Ingreso alto,HIC,Sin Asignar,Agregados
"Hong Kong, Región Administrativa Especial",HKG,Sin Asignar,Ingreso alto
Honduras,HND,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo
Países pobres muy endeudados (PPME),HPC,Sin Asignar,Agregados
Croacia,HRV,Sin Asignar,Ingreso alto
Haití,HTI,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo
Hungría,HUN,Sin Asignar,Ingreso alto
Sólo BIRF,IBD,Sin Asignar,Agregados
BIRF y la AIF,IBT,Sin Asignar,Agregados
total de la AIF,IDA,Sin Asignar,Agregados
mezcla de la AIF,IDB,Sin Asignar,Agregados
Indonesia,IDN,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Sólo AIF,IDX,Sin Asignar,Agregados
Isla de Man,IMN,Sin Asignar,Ingreso alto
India,IND,Asia meridional,Países de ingreso mediano bajo
No clasificado,INX,Sin Asignar,Agregados
Irlanda,IRL,Sin Asignar,Ingreso alto
"Irán, República Islámica del",IRN,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Iraq,IRQ,Oriente Medio y Norte de África (excluido altos ingresos),Ingreso mediano alto
Islandia,ISL,Sin Asignar,Ingreso alto
Israel,ISR,Sin Asignar,Ingreso alto
Italia,ITA,Sin Asignar,Ingreso alto
Jamaica,JAM,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Jordania,JOR,Oriente Medio y Norte de África (excluido altos ingresos),Ingreso mediano alto
Japón,JPN,Sin Asignar,Ingreso alto
Kazajstán,KAZ,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Kenya,KEN,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Kirguistán,KGZ,Europa y Asia central (excluido altos ingresos),Países de ingreso mediano bajo
Camboya,KHM,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Kiribati,KIR,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Saint Kitts y Nevis,KNA,Sin Asignar,Ingreso alto
"Corea, República de",KOR,Sin Asignar,Ingreso alto
Kuwait,KWT,Sin Asignar,Ingreso alto
América Latina y el Caribe (excluido altos ingresos),LAC,Sin Asignar,Agregados
República Democrática Popular Lao,LAO,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Líbano,LBN,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Liberia,LBR,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Libia,LBY,Oriente Medio y Norte de África (excluido altos ingresos),Ingreso mediano alto
Santa Lucía,LCA,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
América Latina y el Caribe ,LCN,Sin Asignar,Agregados
Países menos desarrollados: clasificación de las Naciones Unidas,LDC,Sin Asignar,Agregados
Países de ingreso bajo,LIC,Sin Asignar,Agregados
Liechtenstein,LIE,Sin Asignar,Ingreso alto
Sri Lanka,LKA,Asia meridional,Países de ingreso mediano bajo
Países de ingreso mediano bajo,LMC,Sin Asignar,Agregados
Ingreso mediano y bajo,LMY,Sin Asignar,Agregados
Lesotho,LSO,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
avanzada del dividendo demográfico,LTE,Sin Asignar,Agregados
Lituania,LTU,Sin Asignar,Ingreso alto
Luxemburgo,LUX,Sin Asignar,Ingreso alto
Letonia,LVA,Sin Asignar,Ingreso alto
"Región Administrativa Especial de Macao, China",MAC,Sin Asignar,Ingreso alto
Isla de San Martín (parte francesa),MAF,Sin Asignar,Ingreso alto
Marruecos,MAR,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Mónaco,MCO,Sin Asignar,Ingreso alto
República de Moldova,MDA,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Madagascar,MDG,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Maldivas,MDV,Asia meridional,Ingreso mediano alto
Oriente Medio y Norte de África,MEA,Sin Asignar,Agregados
México,MEX,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Islas Marshall,MHL,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
 Ingreso mediano,MIC,Sin Asignar,Agregados
Macedonia del Norte,MKD,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Malí,MLI,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Malta,MLT,Sin Asignar,Ingreso alto
Myanmar,MMR,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Oriente Medio y Norte de África (excluido altos ingresos),MNA,Sin Asignar,Agregados
Montenegro,MNE,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Mongolia,MNG,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Mariana,MNP,Sin Asignar,Ingreso alto
Mozambique,MOZ,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Mauritania,MRT,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Mauricio,MUS,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto
Malawi,MWI,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Malasia,MYS,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
América del Norte,NAC,Sin Asignar,Agregados
Namibia,NAM,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto
Nueva Caledonia,NCL,Sin Asignar,Ingreso alto
Níger,NER,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Nigeria,NGA,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Nicaragua,NIC,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo
Países Bajos,NLD,Sin Asignar,Ingreso alto
Noruega,NOR,Sin Asignar,Ingreso alto
Nepal,NPL,Asia meridional,Países de ingreso mediano bajo
Nauru,NRU,Sin Asignar,Ingreso alto
Nueva Zelandia,NZL,Sin Asignar,Ingreso alto
Miembros OCDE,OED,Sin Asignar,Agregados
Omán,OMN,Sin Asignar,Ingreso alto
Otros Estados pequeos,OSS,Sin Asignar,Agregados
Pakistán,PAK,Asia meridional,Países de ingreso mediano bajo
Panamá,PAN,Sin Asignar,Ingreso alto
Perú,PER,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Filipinas,PHL,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
